ref	current_head	archived_current_files	archived_history_files	disposition	delete_now	precondition_or_reason
evidence/pr416-applykick-height-ablation	b00fd8028674f4acf84dc6a3c54de5e875275ae5	1	2	deletable	true	Candidate only. Before deletion, while live refs still exist, full branch-exclusive history must reconcile against main + this archive + policy-retained refs; after merge, main-only archive-integrity/reconstruction checks must also pass.
evidence/pr416-applykick-height-focused	1e1cc40223e375d18f18ca0cacce559c1ea7145a	3	2	deletable	true	Candidate only. Before deletion, while live refs still exist, full branch-exclusive history must reconcile against main + this archive + policy-retained refs; after merge, main-only archive-integrity/reconstruction checks must also pass.
evidence/pr416-close-chance-retirement	adcf21bf36c07273f082053d3778693f4075bf2a	2	0	policy-retained	false	Existing durable provenance explicitly retains this ref; archival does not override that policy.
evidence/pr416-colocated-ball-visible	a23683568206423275c80e639f54ea0c80d2d36f	1	3	deletable	true	Candidate only. Before deletion, while live refs still exist, full branch-exclusive history must reconcile against main + this archive + policy-retained refs; after merge, main-only archive-integrity/reconstruction checks must also pass.
evidence/pr416-control-focused-census	ce2ef111491c42ec092ac60f8f32a1e0b512571c	1	0	deletable	true	Candidate only. Before deletion, while live refs still exist, full branch-exclusive history must reconcile against main + this archive + policy-retained refs; after merge, main-only archive-integrity/reconstruction checks must also pass.
evidence/pr416-controlled-residency	33f3cbb530d42196300a84ad9f59b85abcdee1c6	1	0	deletable	true	Candidate only. Before deletion, while live refs still exist, full branch-exclusive history must reconcile against main + this archive + policy-retained refs; after merge, main-only archive-integrity/reconstruction checks must also pass.
evidence/pr416-current-head-validation	9a7755f9422c07c04207d543512c3e5c32098ed9	10	4	deletable	true	Candidate only. Before deletion, while live refs still exist, full branch-exclusive history must reconcile against main + this archive + policy-retained refs; after merge, main-only archive-integrity/reconstruction checks must also pass.
evidence/pr416-final-head-7cc	4943cc84a850e5fa986989257f60c13232d6d083	1	0	deletable	true	Candidate only. Before deletion, while live refs still exist, full branch-exclusive history must reconcile against main + this archive + policy-retained refs; after merge, main-only archive-integrity/reconstruction checks must also pass.
evidence/pr416-final-validation	b2ea41e78ba9d77b339b76c7fb24f41f8df0d0d2	1	0	deletable	true	Candidate only. Before deletion, while live refs still exist, full branch-exclusive history must reconcile against main + this archive + policy-retained refs; after merge, main-only archive-integrity/reconstruction checks must also pass.
evidence/pr416-main-focused-census	53a8928d3a73fdf66ec3deac663ce541734dd390	1	0	deletable	true	Candidate only. Before deletion, while live refs still exist, full branch-exclusive history must reconcile against main + this archive + policy-retained refs; after merge, main-only archive-integrity/reconstruction checks must also pass.
evidence/pr416-mechanism-census	b2079876c8daec0a90b29a837e3285d170ad093b	9	2	deletable	true	Candidate only. Before deletion, while live refs still exist, full branch-exclusive history must reconcile against main + this archive + policy-retained refs; after merge, main-only archive-integrity/reconstruction checks must also pass.
evidence/pr416-narrow-rolling-candidate	bb501a2128f9efbef5e98bffadb0d98214493e78	4	0	policy-retained	false	Existing durable provenance explicitly retains this ref; archival does not override that policy.
evidence/pr416-no-release-control-focused	7c7f5bd63835600ddd9999388ed161e62f569ee4	1	2	deletable	true	Candidate only. Before deletion, while live refs still exist, full branch-exclusive history must reconcile against main + this archive + policy-retained refs; after merge, main-only archive-integrity/reconstruction checks must also pass.
evidence/pr416-no-rolling-focused	9902a8a4a8dde13666a2997fa36decf6abeb3eb1	2	0	deletable	true	Candidate only. Before deletion, while live refs still exist, full branch-exclusive history must reconcile against main + this archive + policy-retained refs; after merge, main-only archive-integrity/reconstruction checks must also pass.
evidence/pr416-no-state-machine-pair	48d19ceb40216a78479f3fbf7c71856c6f0f128c	2	0	deletable	true	Candidate only. Before deletion, while live refs still exist, full branch-exclusive history must reconcile against main + this archive + policy-retained refs; after merge, main-only archive-integrity/reconstruction checks must also pass.
evidence/pr416-no-stationary-focused	7f5f47fdc1a33d905257c7d23c15cf8385472cc8	2	0	deletable	true	Candidate only. Before deletion, while live refs still exist, full branch-exclusive history must reconcile against main + this archive + policy-retained refs; after merge, main-only archive-integrity/reconstruction checks must also pass.
evidence/pr416-pre-force-normalization-ablation	2df4121f1ba23c13cd1c7372cdb84b1bba4f4806	2	0	deletable	true	Candidate only. Before deletion, while live refs still exist, full branch-exclusive history must reconcile against main + this archive + policy-retained refs; after merge, main-only archive-integrity/reconstruction checks must also pass.
evidence/pr416-production-union-revert	e28239b25bea5df190a38aefc099a2e029d47bfa	4	0	deletable	true	Candidate only. Before deletion, while live refs still exist, full branch-exclusive history must reconcile against main + this archive + policy-retained refs; after merge, main-only archive-integrity/reconstruction checks must also pass.
evidence/pr416-release-control-focused	73e76e0f886a9bf791d6e820fefc808e2120f5e7	3	0	deletable	true	Candidate only. Before deletion, while live refs still exist, full branch-exclusive history must reconcile against main + this archive + policy-retained refs; after merge, main-only archive-integrity/reconstruction checks must also pass.
evidence/pr416-rolling-order-focused	ce5bb0f1eb66e3b55af82c65e8c1800250c168f4	4	0	deletable	true	Candidate only. Before deletion, while live refs still exist, full branch-exclusive history must reconcile against main + this archive + policy-retained refs; after merge, main-only archive-integrity/reconstruction checks must also pass.
evidence/pr416-shot-fm03-severity	d06e9b067bd9936d246dd42a4312a5d6ac9444f9	5	0	deletable	true	Candidate only. Before deletion, while live refs still exist, full branch-exclusive history must reconcile against main + this archive + policy-retained refs; after merge, main-only archive-integrity/reconstruction checks must also pass.
evidence/pr416-state-machine-pair-focused	1875a6cffc25cb68ef9df577898e9e3ce8701c5d	3	0	deletable	true	Candidate only. Before deletion, while live refs still exist, full branch-exclusive history must reconcile against main + this archive + policy-retained refs; after merge, main-only archive-integrity/reconstruction checks must also pass.
evidence/pr416-state-only-preforce-candidate	efa2f8946a9a6a8852946b97a8e4c7d55013b0bf	5	0	policy-retained	false	Existing durable provenance explicitly retains this ref; archival does not override that policy.
evidence/pr416-stationary-state-focused	3d4854517ef5b128516f21acdc981564f2ab57c9	4	0	deletable	true	Candidate only. Before deletion, while live refs still exist, full branch-exclusive history must reconcile against main + this archive + policy-retained refs; after merge, main-only archive-integrity/reconstruction checks must also pass.
